date,cash_value,stock_value,total_value,deposit_withdrawal,simple_returns,cum_return,equity_index
2020-04-09,-3881.6,-9476.611147558559,-13358.211147558559,0.0,0.0,-0.5882257893190159,
2020-04-10,-3881.6,-9476.611147558559,-13358.211147558559,0.0,0.0,-0.5882257893190159,
2020-04-11,-3881.6,-9476.611147558559,-13358.211147558559,0.0,0.0,-0.5882257893190159,
2020-04-12,-3881.6,-9476.611147558559,-13358.211147558559,0.0,0.0,-0.5882257893190159,
2020-04-13,-3909.0099999999998,-9481.601329422705,-13390.611329422705,10.0,0.0,-0.5882257893190159,
2020-04-14,-3909.0099999999998,-9477.477100519605,-13386.487100519606,0.0,0.0,-0.5882257893190159,
2020-04-15,-3909.0099999999998,-9489.504423519176,-13398.514423519176,0.0,0.0,-0.5882257893190159,
2020-04-16,-3909.0099999999998,-10113.723319069464,-14022.733319069464,0.0,0.0,-0.5882257893190159,
2020-04-17,-3876.0099999999998,-9604.718313999443,-13480.728313999443,33.0,0.0,-0.5882257893190159,
2020-04-18,-3876.0099999999998,-9604.718313999443,-13480.728313999443,0.0,0.0,-0.5882257893190159,
2020-04-19,-3876.0099999999998,-9604.718313999443,-13480.728313999443,0.0,0.0,-0.5882257893190159,
2020-04-20,-3866.0099999999998,-9624.051429999327,-13490.061429999327,10.0,0.0,-0.5882257893190159,
2020-04-21,-3901.5299999999997,-9508.406856034127,-13409.936856034128,10.0,0.0,-0.5882257893190159,
2020-04-22,-3901.5299999999997,-9288.808914710824,-13190.338914710825,0.0,0.0,-0.5882257893190159,
2020-04-23,-3901.5299999999997,-9275.997938062976,-13177.527938062976,0.0,0.0,-0.5882257893190159,
2020-04-24,-3879.5299999999997,-8967.626783448866,-12847.156783448867,22.0,0.0,-0.5882257893190159,
2020-04-25,-3879.5299999999997,-8967.626783448866,-12847.156783448867,0.0,0.0,-0.5882257893190159,
2020-04-26,-3879.5299999999997,-8967.626783448866,-12847.156783448867,0.0,0.0,-0.5882257893190159,
2020-04-27,-3929.5299999999997,-8960.130499804929,-12889.66049980493,10.0,0.0,-0.5882257893190159,
2020-04-28,-3929.5299999999997,-8803.147860888723,-12732.677860888722,0.0,0.0,-0.5882257893190159,
2020-04-29,-3929.5299999999997,-8705.96620931596,-12635.49620931596,0.0,0.0,-0.5882257893190159,
2020-04-30,-3929.5299999999997,-8465.930654597536,-12395.460654597537,0.0,0.0,-0.5882257893190159,
2020-05-01,-3929.5299999999997,-8482.419357304665,-12411.949357304664,0.0,0.0,-0.5882257893190159,
2020-05-02,-3954.3399999999997,-8482.419357304665,-12436.759357304665,0.0,0.0,-0.5882257893190159,
2020-05-03,-3963.66,-8482.419357304665,-12446.079357304665,0.0,0.0,-0.5882257893190159,
2020-05-04,-3995.0,-8606.81818116122,-12601.81818116122,15.0,0.0,-0.5882257893190159,
2020-05-05,-3995.0,-8353.73451113594,-12348.73451113594,0.0,0.0,-0.5882257893190159,
2020-05-06,-3995.0,-8361.864365844342,-12356.864365844342,0.0,0.0,-0.5882257893190159,
2020-05-07,-3995.0,-8357.630297203272,-12352.630297203272,0.0,0.0,-0.5882257893190159,
2020-05-08,-3995.0,-8341.926448651862,-12336.926448651862,0.0,0.0,-0.5882257893190159,
2020-05-09,-4045.66,-8341.926448651862,-12387.586448651862,0.0,0.0,-0.5882257893190159,
2020-05-10,-4045.66,-8341.926448651862,-12387.586448651862,0.0,0.0,-0.5882257893190159,
2020-05-11,-4030.66,-8379.432051528867,-12410.092051528867,15.0,0.0,-0.5882257893190159,
2020-05-12,-4030.66,-8396.068125644402,-12426.728125644402,0.0,0.0,-0.5882257893190159,
2020-05-13,-4030.66,-8359.771339609582,-12390.431339609582,0.0,0.0,-0.5882257893190159,
2020-05-14,-4030.66,-8367.271768366705,-12397.931768366705,0.0,0.0,-0.5882257893190159,
2020-05-15,-4030.66,-8367.43301288248,-12398.09301288248,0.0,0.0,-0.5882257893190159,
2020-05-16,-4030.66,-8367.43301288248,-12398.09301288248,0.0,0.0,-0.5882257893190159,
2020-05-17,-4030.66,-8367.43301288248,-12398.09301288248,0.0,0.0,-0.5882257893190159,
2020-05-18,-4015.66,-8335.849374209858,-12351.509374209858,15.0,0.0,-0.5882257893190159,
2020-05-19,-4015.66,-8468.839626110928,-12484.499626110928,0.0,0.0,-0.5882257893190159,
2020-05-20,-4015.66,-8410.921033036228,-12426.581033036227,0.0,0.0,-0.5882257893190159,
2020-05-21,-4015.66,-8402.186987223213,-12417.846987223213,0.0,0.0,-0.5882257893190159,
2020-05-22,-4015.66,-8464.057368936545,-12479.717368936545,0.0,0.0,-0.5882257893190159,
2020-05-23,-4015.66,-8464.057368936545,-12479.717368936545,0.0,0.0,-0.5882257893190159,
2020-05-24,-4015.66,-8464.057368936545,-12479.717368936545,0.0,0.0,-0.5882257893190159,
2020-05-25,-4000.66,-8464.057368936545,-12464.717368936545,15.0,0.0,-0.5882257893190159,
2020-05-26,-4000.66,-8455.999575667736,-12456.659575667736,0.0,0.0,-0.5882257893190159,
2020-05-27,-4000.66,-8443.656304296272,-12444.316304296271,0.0,0.0,-0.5882257893190159,
2020-05-28,-4000.66,-8451.741946500675,-12452.401946500675,0.0,0.0,-0.5882257893190159,
2020-05-29,-4000.66,-8457.891077698492,-12458.551077698492,0.0,0.0,-0.5882257893190159,
2020-05-30,-4000.66,-8457.891077698492,-12458.551077698492,0.0,0.0,-0.5882257893190159,
2020-05-31,-4000.66,-8457.891077698492,-12458.551077698492,0.0,0.0,-0.5882257893190159,
2020-06-01,-3985.66,-8456.352405657179,-12442.012405657179,15.0,0.0,-0.5882257893190159,
2020-06-02,-3985.66,-8450.596145926052,-12436.256145926052,0.0,0.0,-0.5882257893190159,
2020-06-03,-3985.66,-8432.7823140295,-12418.4423140295,0.0,0.0,-0.5882257893190159,
2020-06-04,-3985.66,-8402.053116260537,-12387.713116260536,0.0,0.0,-0.5882257893190159,
2020-06-05,-3985.66,-8411.39994810464,-12397.05994810464,0.0,0.0,-0.5882257893190159,
2020-06-06,-3985.66,-8411.39994810464,-12397.05994810464,0.0,0.0,-0.5882257893190159,
2020-06-07,-3985.66,-8411.39994810464,-12397.05994810464,0.0,0.0,-0.5882257893190159,
2020-06-08,-3970.66,-8406.706875567697,-12377.366875567697,15.0,0.0,-0.5882257893190159,
2020-06-09,-3970.66,-8405.519906527183,-12376.179906527183,0.0,0.0,-0.5882257893190159,
2020-06-10,-3970.66,-8431.894308775676,-12402.554308775676,0.0,0.0,-0.5882257893190159,
2020-06-11,-3970.66,-8460.745870599585,-12431.405870599585,0.0,0.0,-0.5882257893190159,
2020-06-12,-3970.66,-8451.0626483571,-12421.7226483571,0.0,0.0,-0.5882257893190159,
2020-06-13,-3970.66,-8451.0626483571,-12421.7226483571,0.0,0.0,-0.5882257893190159,
2020-06-14,-3970.66,-8451.0626483571,-12421.7226483571,0.0,0.0,-0.5882257893190159,
2020-06-15,-3955.66,-8442.932038703033,-12398.592038703033,15.0,0.0,-0.5882257893190159,
2020-06-16,-3955.66,-8433.108025676709,-12388.768025676709,0.0,0.0,-0.5882257893190159,
2020-06-17,-3975.66,-8440.386298798818,-12416.046298798818,0.0,0.0,-0.5882257893190159,
2020-06-18,-4071.72,-8423.874121222185,-12495.594121222184,0.0,0.0,-0.5882257893190159,
2020-06-19,-4071.72,-8326.687195535314,-12398.407195535314,0.0,0.0,-0.5882257893190159,
2020-06-20,-4071.72,-8326.687195535314,-12398.407195535314,0.0,0.0,-0.5882257893190159,
2020-06-21,-4071.72,-8326.687195535314,-12398.407195535314,0.0,0.0,-0.5882257893190159,
2020-06-22,-4056.72,-8306.095618580975,-12362.815618580975,15.0,0.0,-0.5882257893190159,
2020-06-23,-4056.72,-8309.645475782581,-12366.36547578258,0.0,0.0,-0.5882257893190159,
2020-06-24,-4056.72,-8206.138457770787,-12262.858457770786,0.0,0.0,-0.5882257893190159,
2020-06-25,-4056.72,-8189.019041923219,-12245.73904192322,0.0,0.0,-0.5882257893190159,
2020-06-26,-4056.72,-8192.54991327786,-12249.26991327786,0.0,0.0,-0.5882257893190159,
2020-06-27,-4056.72,-8192.54991327786,-12249.26991327786,0.0,0.0,-0.5882257893190159,
2020-06-28,-4056.72,-8192.54991327786,-12249.26991327786,0.0,0.0,-0.5882257893190159,
2020-06-29,-4041.72,-8437.402696151967,-12479.122696151966,15.0,0.0,-0.5882257893190159,
2020-06-30,-4251.338,-8150.825808225508,-12402.163808225509,15.0,0.0,-0.5882257893190159,
2020-07-01,-4251.338,-8131.121561257467,-12382.459561257467,0.0,0.0,-0.5882257893190159,
2020-07-02,-4251.338,-7956.537365507711,-12207.87536550771,0.0,0.0,-0.5882257893190159,
2020-07-03,-4251.338,-7956.537365507711,-12207.87536550771,0.0,0.0,-0.5882257893190159,
